trading_day,price_eur,true_vol_event,next_abs_return,classical_ensemble_score,quantum_ensemble_score
130,5.173857,0,0.00990118,0.052779,0.167526
131,5.225339,0,0.01429677,0.038293,0.078659
132,5.300581,0,0.00900579,0.013193,0.068622
133,5.253059,0,0.01867121,0.030906,0.096007
134,5.352062,0,0.02547909,0.034820,0.137647
135,5.217419,0,0.00151689,0.073902,0.407305
136,5.225339,0,0.00000000,0.080881,0.156736
137,5.225339,0,0.00679768,0.036998,0.057999
138,5.260980,0,0.02159416,0.033063,0.031522
139,5.375822,0,0.00514334,0.018825,0.150484
140,5.403543,0,0.00802924,0.026757,0.068430
141,5.447104,0,0.00290384,0.030225,0.039878
142,5.462945,0,0.01081476,0.029938,0.021248
143,5.522346,0,0.00107620,0.025030,0.036779
144,5.516406,0,0.00865174,0.011732,0.017212
145,5.468885,0,0.00721503,0.045285,0.070664
146,5.508486,1,0.03600808,0.030740,0.036430
147,5.710450,1,0.03421254,0.069211,0.334439
148,5.518385,0,0.00465368,0.146936,0.610900
149,5.544126,0,0.00321945,0.099379,0.241900
150,5.526306,0,0.00178993,0.078517,0.124253
151,5.536206,0,0.00819235,0.051057,0.066038
152,5.581747,0,0.03280128,0.024052,0.048271
153,5.767871,0,0.02046197,0.030841,0.310778
154,5.651049,0,0.01198468,0.074242,0.421143
155,5.583727,0,0.01680708,0.118527,0.284842
156,5.490665,0,0.00978443,0.172280,0.319154
157,5.437204,0,0.01194584,0.140727,0.201522
158,5.502545,0,0.02557868,0.066381,0.108098
159,5.645109,0,0.01393263,0.027796,0.241214
160,5.724310,0,0.01714713,0.043635,0.167326
161,5.823312,1,0.03811956,0.054387,0.164849
162,5.605508,1,0.09361617,0.155108,0.588808
163,5.104556,1,0.05067246,0.436468,0.498234
164,5.369882,1,0.03461820,0.225535,0.676329
165,5.559033,0,0.00571423,0.125897,0.651888
166,5.590889,0,0.02531784,0.110305,0.350511
167,5.734246,0,0.00692044,0.156626,0.409468
168,5.774067,0,0.01437879,0.149657,0.246790
169,5.857691,0,0.01384000,0.094129,0.197356
170,5.939325,0,0.00134002,0.056232,0.166535
171,5.947289,0,0.01627132,0.062368,0.101459
172,6.044851,1,0.04032812,0.124690,0.150195
173,5.805923,0,0.00615387,0.534883,0.590116
174,5.841763,0,0.01589215,0.415277,0.235771
175,5.935342,0,0.00901660,0.073675,0.156527
176,5.989101,1,0.03975767,0.087402,0.090612
177,6.232010,0,0.01427457,0.079679,0.413836
178,6.321608,0,0.01158614,0.070008,0.256744
179,6.395277,0,0.00124609,0.068415,0.149741
180,6.387312,0,0.01444293,0.094175,0.089082
181,6.295724,0,0.01537768,0.077999,0.194940
182,6.393286,0,0.03003234,0.043576,0.146173
183,6.204135,1,0.03964035,0.236123,0.476035
184,6.455009,1,0.05198706,0.239164,0.582837
185,6.799461,0,0.01683191,0.227218,0.674609
186,6.685971,1,0.04597842,0.305884,0.519092
187,7.000558,1,0.05465203,0.195732,0.664297
188,6.628231,0,0.00688518,0.262537,0.743640
189,6.674025,0,0.00238946,0.195289,0.332945
190,6.658096,0,0.00388008,0.128996,0.190359
191,6.683980,0,0.01742245,0.110641,0.125736
192,6.801452,1,0.04381523,0.076064,0.179979
193,7.106084,0,0.00920379,0.180948,0.521134
194,7.171789,1,0.03866530,0.141228,0.287063
195,7.454519,0,0.00321024,0.117719,0.503197
196,7.430627,0,0.01784318,0.164769,0.300047
197,7.299217,0,0.03215356,0.112805,0.329900
198,7.068254,0,0.02625717,0.305167,0.605087
199,6.885077,0,0.00202635,0.329211,0.602303
200,6.871140,0,0.01979695,0.280251,0.258178
201,7.008523,1,0.03626621,0.109435,0.240174
202,7.267360,0,0.00935881,0.098693,0.486614
203,7.199664,1,0.05193388,0.090104,0.319937
204,6.835300,0,0.01072005,0.247291,0.638804
205,6.908969,0,0.02096753,0.162014,0.280944
206,6.765614,1,0.04488665,0.132685,0.382796
207,7.076218,0,0.03347943,0.095029,0.571503
208,7.317136,0,0.01699753,0.067803,0.585812
209,7.442573,1,0.07024062,0.121183,0.396319
210,7.984141,0,0.00447868,0.322846,0.598007
211,8.019979,0,0.00273456,0.255819,0.318504
212,7.998078,1,0.07017046,0.218503,0.198937
213,8.579467,0,0.01405712,0.386312,0.536927
214,8.700921,0,0.02408643,0.471219,0.352684
215,8.493851,0,0.00700782,0.652415,0.538852
216,8.553583,0,0.00626526,0.670583,0.305479
217,8.607342,0,0.03321505,0.456069,0.169461
218,8.898036,0,0.01193035,0.361177,0.419579
219,8.792510,1,0.03713957,0.365860,0.360508
220,8.471950,1,0.06152289,0.266997,0.638944
221,9.009536,0,0.01155833,0.288753,0.671262
222,8.906000,1,0.04070520,0.257801,0.429015
223,9.276000,0,0.01434252,0.123142,0.584295
224,9.410000,1,0.09134140,0.094034,0.351229
225,10.310000,0,0.02821121,0.474483,0.535927
226,10.605000,1,0.07141026,0.467373,0.585947
227,11.390000,0,0.00306815,0.800567,0.689951
228,11.425000,0,0.00702681,0.581602,0.400933
229,11.345000,1,0.07312532,0.746378,0.330925
230,10.545000,1,0.03723088,0.920216,0.600483
231,10.945000,1,0.03985310,0.484507,0.654653
232,11.390000,0,0.02714296,0.404878,0.757089
233,11.085000,1,0.07262482,0.429386,0.786755
234,11.920000,0,0.00125921,0.610115,0.788201
235,11.905000,0,0.01480883,0.371267,0.412106
236,11.730000,0,0.01243846,0.363971,0.422115
237,11.585000,0,0.01286464,0.153324,0.326493
238,11.735000,0,0.02897539,0.103808,0.211713
239,12.080000,1,0.09282366,0.103711,0.382513
240,13.255000,0,0.01443798,0.658446,0.538104
241,13.065000,1,0.05726475,0.477624,0.450080
242,13.835000,0,0.02747929,0.532525,0.693850
243,13.460000,0,0.01950551,0.604121,0.737798
244,13.200000,1,0.04810857,0.428259,0.568699
245,12.580000,1,0.05715840,0.517346,0.776165
246,13.320000,1,0.07587605,0.304602,0.766003
247,14.370000,0,0.02168390,0.467110,0.742865
248,14.685000,1,0.05242290,0.449478,0.628406
249,13.935000,1,0.06255510,0.632972,0.871549
