trading_day,RNN,GRU,LSTM,Transformer,"GARCH(1,1)",QRNN,QGRU,QLSTM,QTransformer
130,0.112758,0.082146,0.060935,0.014586,0.029217,0.265550,0.211711,0.162370,0.030474
131,0.108222,0.031793,0.023184,0.039788,0.017607,0.132918,0.093984,0.082448,0.005287
132,0.012198,0.008199,0.007871,0.002096,0.020348,0.064292,0.068293,0.141901,0.000000
133,0.021808,0.033782,0.024193,0.052489,0.019352,0.159478,0.127219,0.079267,0.018053
134,0.021806,0.005592,0.007059,0.050040,0.033734,0.155224,0.135857,0.231835,0.027668
135,0.044594,0.084044,0.065484,0.032729,0.089678,0.658179,0.457053,0.449600,0.064396
136,0.087411,0.059454,0.048127,0.077672,0.042749,0.263776,0.225402,0.093101,0.044667
137,0.045300,0.048496,0.040323,0.002984,0.019011,0.032926,0.123130,0.056175,0.019767
138,0.030398,0.028248,0.023274,0.047552,0.008515,0.012057,0.049919,0.051909,0.012202
139,0.010793,0.000778,0.005040,0.023281,0.038622,0.160416,0.140598,0.274540,0.026389
140,0.024364,0.011647,0.011491,0.100049,0.017342,0.102600,0.062768,0.050115,0.058240
141,0.019992,0.007270,0.004528,0.046199,0.008951,0.000000,0.022551,0.062330,0.074630
142,0.022999,0.006607,0.000553,0.084286,0.001229,0.013280,0.006117,0.011458,0.054137
143,0.043039,0.008813,0.002342,0.100872,0.004699,0.026727,0.000000,0.070602,0.049787
144,0.040500,0.010723,0.000000,0.014344,0.000000,0.044854,0.013146,0.000000,0.010849
145,0.117896,0.059011,0.024834,0.054544,0.008110,0.110974,0.094748,0.055327,0.021610
146,0.135614,0.046316,0.030568,0.014139,0.003310,0.051812,0.032361,0.035730,0.025818
147,0.127650,0.037631,0.119861,0.071430,0.112388,0.415095,0.350028,0.512276,0.060360
148,0.216259,0.166392,0.248432,0.123259,0.185670,0.906531,0.667367,0.753573,0.116131
149,0.265842,0.074459,0.053136,0.058970,0.092746,0.338335,0.333564,0.207470,0.088234
150,0.126230,0.074319,0.056176,0.130522,0.047131,0.090295,0.209587,0.107993,0.089143
151,0.062663,0.052445,0.040507,0.106316,0.020828,0.041744,0.109328,0.054812,0.058267
